ticker,event_date,date,model,prompt_variant,traditional_AR,traditional_alpha,traditional_beta,llm_AR,llm_alpha,llm_beta,llm_expected_return,ar_error,alpha_error,beta_error,raw_response
AAPL,2024-11-19,2024-10-23,mistral-small-3.2-24b,with_formula,-0.0094277209303056,0.0004425011001341,0.7746384139684408,-0.005514,0.000949,0.987654,-0.016109,0.0039137209303056,0.0005064988998659,0.2130155860315592,"```json
{
  ""alpha"": 0.000949,
  ""beta"": 0.987654,
  ""expected_return"": -0.016109,
  ""ar"": -0.005514
}
```"
AAPL,2024-11-19,2024-10-22,mistral-small-3.2-24b,with_formula,-0.0047254545992577,0.0004425011001341,0.7746384139684408,-0.00473,0.000630653,0.982001235,0.002108,-4.545400742299484e-06,0.0001881518998659,0.2073628210315592,"```json
{
  ""alpha"": 0.000630653,
  ""beta"": 0.982001235,
  ""expected_return"": 0.002108,
  ""ar"": -0.004730
}
```"
AAPL,2024-11-19,2024-10-24,mistral-small-3.2-24b,with_formula,-0.0071504233706887,0.0004425011001341,0.7746384139684408,-0.009646,0.001234,0.987654,0.008823,-0.0024955766293113,0.0007914988998659,0.2130155860315592,"```json
{
  ""alpha"": 0.001234,
  ""beta"": 0.987654,
  ""expected_return"": 0.008823,
  ""ar"": -0.009646
}
```"
AAPL,2024-11-19,2024-10-25,mistral-small-3.2-24b,with_formula,-0.001136943154438,0.0004425011001341,0.7746384139684408,-0.0015112202739726,0.0006307692307692,0.92027397260274,0.0051542202739726,-0.0003742771195346,0.0001882681306351,0.1456355586342992,"```json
{
  ""alpha"": 0.000630769230769231,
  ""beta"": 0.92027397260274,
  ""expected_return"": 0.005154220273972603,
  ""ar"": -0.001511220273972603
}
```"
AAPL,2024-11-19,2024-10-28,mistral-small-3.2-24b,with_formula,0.0061247341023596,0.0004425011001341,0.7746384139684408,0.00532,0.000632,0.950123,0.003279,-0.0008047341023595,0.0001894988998658,0.1754845860315592,"```json
{
  ""alpha"": 0.000632,
  ""beta"": 0.950123,
  ""expected_return"": 0.003279,
  ""ar"": 0.005320
}
```"
AAPL,2024-11-19,2024-10-30,mistral-small-3.2-24b,with_formula,-0.0113813069081233,0.0004425011001341,0.7746384139684408,-0.015278,0.001123,0.987654,-0.00554,-0.0038966930918767,0.0006804988998659,0.2130155860315592,"```json
{
  ""alpha"": 0.001123,
  ""beta"": 0.987654,
  ""expected_return"": -0.005540,
  ""ar"": -0.015278 - (-0.005540)
}
```"
AAPL,2024-11-19,2024-10-29,mistral-small-3.2-24b,with_formula,-0.0053585446770529,0.0004425011001341,0.7746384139684408,-0.0060664029682538,0.0006307692307692,0.92061552795031,0.0072234029682538,-0.0007078582912009,0.0001882681306351,0.1459771139818692,"```json
{
  ""alpha"": 0.000630769230769231,
  ""beta"": 0.92061552795031,
  ""expected_return"": 0.007223402968253875,
  ""ar"": -0.006066402968253875
}
```"
AAPL,2024-11-19,2024-10-31,mistral-small-3.2-24b,with_formula,0.0026948141154005,0.0004425011001341,0.7746384139684408,0.009025,0.001123,0.987654,-0.027234,0.0063301858845995,0.0006804988998659,0.2130155860315592,"```json
{
  ""alpha"": 0.001123,
  ""beta"": 0.987654,
  ""expected_return"": -0.027234,
  ""ar"": 0.009025
}
```"
AAPL,2024-11-19,2024-11-01,mistral-small-3.2-24b,with_formula,-0.0199196616866926,0.0004425011001341,0.7746384139684408,-0.023149,0.001123,0.987654,0.009869,-0.0032293383133073,0.0006804988998659,0.2130155860315592,"```json
{
  ""alpha"": 0.001123,
  ""beta"": 0.987654,
  ""expected_return"": 0.009869,
  ""ar"": -0.023149
}
```"
AAPL,2024-11-19,2024-11-04,mistral-small-3.2-24b,with_formula,-0.0019344485546246,0.0004425011001341,0.7746384139684408,-0.006161,0.001123,0.987654,0.002123,-0.0042265514453754,0.0006804988998659,0.2130155860315592,"```json
{
  ""alpha"": 0.001123,
  ""beta"": 0.987654,
  ""expected_return"": 0.002123,
  ""ar"": -0.006161
}
```"
AAPL,2024-11-19,2024-11-05,mistral-small-3.2-24b,with_formula,-0.0050002161883405,0.0004425011001341,0.7746384139684408,-0.006668,0.000632,0.923456,0.013154,-0.0016677838116595,0.0001894988998658,0.1488175860315592,"```json
{
  ""alpha"": 0.000632,
  ""beta"": 0.923456,
  ""expected_return"": 0.013154,
  ""ar"": -0.006668
}
```"
AAPL,2024-11-19,2024-11-06,mistral-small-3.2-24b,with_formula,-0.0265757162134844,0.0004425011001341,0.7746384139684408,-0.033267,0.001123,0.987654,0.03,-0.0066912837865155,0.0006804988998659,0.2130155860315592,"```json
{
  ""alpha"": 0.001123,
  ""beta"": 0.987654,
  ""expected_return"": 0.030000,
  ""ar"": -0.033267
}
```"
